City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
129,uturoa,-16.7333,-151.4333,25.5,70,27,2.93,PF,1730646728
130,chonchi,-42.6128,-73.8092,10.07,57,85,4.28,CL,1730646729
131,dunedin,-45.8742,170.5036,7.67,72,100,1.34,NZ,1730646730
132,chakulia,22.4833,86.7167,24.05,60,0,1.66,IN,1730646731
133,klyuchi,52.2667,79.1667,10.24,73,100,7.94,RU,1730646732
134,masvingo,-20.0637,30.8277,33.47,12,2,5.23,ZW,1730646734
135,jijiga,9.35,42.8,20.12,44,3,4.83,ET,1730646735
136,ust-nera,64.5667,143.2,-23.87,100,99,2.23,RU,1730646736
137,kill devil hills,36.0307,-75.676,17.77,67,75,6.17,US,1730646737
138,balikpapan,-1.2675,116.8289,25.55,89,20,2.06,ID,1730646738
139,avarua,-21.2078,-159.775,23.03,83,20,3.09,CK,1730646739
140,yakeshi,49.2833,120.7333,-5.36,54,4,1.87,CN,1730646741
141,bohain-en-vermandois,49.9873,3.453,13.65,74,13,2.82,FR,1730646742
142,fort bragg,35.139,-79.006,17.04,66,0,3.6,US,1730646743
143,labuan,5.2767,115.2417,28.12,74,14,2.41,MY,1730646744
144,hamilton,39.1834,-84.5333,14.34,60,0,4.63,US,1730646745
145,tambo grande,-4.9269,-80.3447,24.54,53,100,1.48,PE,1730646746
146,freetown,8.484,-13.2299,29.71,65,78,4.52,SL,1730646747
147,luderitz,-26.6481,15.1594,20.11,55,11,12.65,NA,1730646749
148,christchurch,-43.5333,172.6333,5.74,87,94,3.6,NZ,1730646476
149,wakimachi,34.0667,134.15,12.31,64,0,2.28,JP,1730646753
150,mohr,54.3528,9.7167,12.05,82,99,6.17,DE,1730646754
151,san andres,12.5847,-81.7006,29.01,84,20,2.06,CO,1730646756
152,port mathurin,-19.6833,63.4167,23.78,81,56,6.62,MU,1730646757
153,afaahiti,-17.75,-149.2833,23.8,72,21,1.61,PF,1730646758
154,tamanrasset,22.785,5.5228,25.95,17,0,3.6,DZ,1730646759
155,east london,-33.0153,27.9116,21.21,75,92,4.31,ZA,1730646760
156,lorengau,-2.0226,147.2712,27.33,77,6,1.49,PG,1730646761
157,dzhetygara,52.1908,61.2006,0.63,59,100,4.85,KZ,1730646762
158,sawakin,19.1059,37.3321,29.94,72,1,5.28,SD,1730646764
159,yichun,47.7,128.9,-0.48,97,99,1.32,CN,1730646765
160,hirtshals,57.5881,9.9592,12.12,90,85,12.82,DK,1730646766
161,crane,31.3974,-102.3501,20.1,37,18,3.71,US,1730646767
162,tourlaville,49.6383,-1.5664,10.68,93,100,4.12,FR,1730646768
163,vidra,44.2606,26.1697,9.08,50,96,0.72,RO,1730646769
164,bandarbeyla,9.4942,50.8122,26.71,79,24,4.67,SO,1730646771
165,arkhangel'sk,64.5401,40.5433,-1.94,86,75,5.0,RU,1730646772
166,alice springs,-23.7,133.8833,32.75,22,99,3.6,AU,1730646773
167,beira,-19.8436,34.8389,28.05,65,0,5.66,MZ,1730646774
168,porto seguro,-16.4497,-39.0647,27.29,78,40,5.66,BR,1730646536
169,penhalonga,-18.8911,32.6978,26.41,27,3,2.82,ZW,1730646776
170,tan-tan,28.438,-11.1032,23.23,45,100,3.76,MA,1730646778
171,punta arenas,-53.15,-70.9167,9.06,71,75,8.75,CL,1730646779
